Periode;Production.Totale.Brute;Production.Totale.Nette;Production brute d'électricité primaire (en GWh);Production nette d'électricité primaire (en GWh);Production.Brute.Nucléaire;Production nette d'électricité nucléaire (en GWh);Production brute d'électricité hydraulique (en GWh);Production nette d'électricité hydraulique (en GWh);Production brute d'électricité éolienne (en GWh);Production nette d'électricité éolienne (en GWh);Production brute d'électricité photovoltaïque (en GWh);Production nette d'électricité photovoltaïque (en GWh);Production brute d'électricité thermique (en GWh);Production nette d'électricité thermique (en GWh);Électricité absorbée pour les pompages (en GWh);Total des importations physiques d'électricité (en GWh);Total des exportations physiques d'électricité (en GWh);Energie appelée réelle yc pertes (consommation calculée yc pertes) (en GWh);Livraisons en basse tension (BT : FC + Corse) (en GWh);Livraisons en moyenne tension (MT : FC + Corse) (en GWh);Livraisons en haute tension (en GWh);Energie appelée réelle yc pertes corrigée du climat (en GWh);Livraisons en basse tension corrigées du climat (en GWh);Livraisons en moyenne tension corrigées du climat (en GWh);Consommation d'électricité primaire (en GWh);Consommation d'électricité primaire corrigée du climat (en GWh);Puissance maximale appelée (en GW);Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période 1986-2015) (sans unité)
mars-11;53049.48671;50779.42811;45197.00671;43371.42811;39458.158;37688;4524.824338;4469.403732;1094;1094;120.0243749;120.0243749;7852.48;7408;564;871;5526;45560.42811;19038.77;14276.7;7807;46313.20632;19661.47643;14333.44503;38152.42811;38891.47655;79.7;0.920821506
avr-11;42808.58648;40865.48174;39522.58648;37765.48174;34556.526;32850;4129.509525;4078.930783;668;668;168.5509544;168.5509544;3286;3100;544;548;5663;35206.48174;12414.25;12346.3;7543;39180.96348;15727.13644;12680.18152;32106.48174;36751.44844;62;0.47338054
mai-11;42962.45711;40948.64422;39243.97711;37440.64422;34830.697;33070;3481.013426;3438.377544;727;727;205.2666797;205.2666797;3718.48;3508;633;499;5839;34975.64422;11515.47;12758.7;7831;37863.22632;13887.7002;13037.06612;31467.64422;35061.01686;56;0.572962015
juin-11;42132.39749;40245.59376;39741.03749;37989.59376;34286.786;32589;4380.893908;4327.236179;853;853;220.3575849;220.3575849;2391.36;2256;560;302;6356;33631.59376;10837.9;12493.7;7576;33631.59376;10837.9;12493.7;31375.59376;31375.59376;58.874;1
juil-11;42730.94559;40809.98791;40557.94559;38759.98791;35232.78;33487;4260.055106;4207.877426;809;809;256.1104821;256.1104821;2173;2050;561;289;6461;34076.98791;10834.7;12647.9;7608;34076.98791;10834.7;12647.9;32026.98791;32026.98791;57.19;1
août-11;40234.46112;38348.64541;37921.54112;36166.64541;33091;31384;3910.453157;3862.557445;664;664;256.087963;256.087963;2312.92;2182;539;334;5680;32463.64541;10803.4;11873.1;6864;32463.64541;10803.4;11873.1;30281.64541;30281.64541;56.017;1
sept-11;40622.53644;38790.03245;37373.63644;35725.03245;33085.95;31477;3237.556217;3197.902229;821;821;229.1302198;229.1302198;3248.9;3065;493;487;4752;34032.03245;10966.9;12784.5;7423;34032.03245;10966.9;12784.5;30967.03245;30967.03245;56.345;1
oct-11;44110.1479;42140.91927;38959.6079;37281.91927;34461.51;32824;3280.390457;3240.21183;1035;1035;182.7074431;182.7074431;5150.54;4859;634;841;4664;37683.91927;13910.3;12905.8;7557;38540.72427;14613.70806;12983.92009;32824.91927;33801.09715;67.97;0.879666396
nov-11;48495.7401;46277.70424;40387.8001;38628.70424;35415.62;33705;3957.81986;3909.343994;909;909;105.3602415;105.3602415;8107.94;7649;585;1262;5121;41833.70424;16814.5;13503.2;7292;43956.77177;18562.36959;13664.02901;34184.70424;36231.69316;75.07;0.764595034
déc-11;56141.83768;53726.29994;49564.53768;47521.29994;41791.86;39819;5746.002289;5675.624545;1944;1944;82.67539217;82.67539217;6577.3;6205;669;943;5770;48230.29994;21490.5;14545.2;7151;50134.72897;23070.20613;14670.77054;42025.29994;43825.8553;82.46;0.828815343
janv-12;59655.0807;57249.40267;53230.26806;51188.25867;44768.87;42810.54;6832.017077;6748.33769;1520.710382;1520.710382;108.6706;108.6706;6424.81264;6061.144;559.4;720.89;6218.42;51192.47267;23139.54;15142.65558;7493.08;52444.03476;24177.00015;15224.31698;45131.32867;46324.01561;89.79;0.892722407
févr-12;56793.56937;54393.92777;46953.22155;45110.58077;40439.44;38661.1;5249.847739;5185.546957;1083.569283;1083.569283;180.364531;180.364531;9840.34782;9283.347;409.33;3166.41;2618.47;54532.53777;25974.45;15286.85602;7331.449;50517.44126;22670.21351;15013.32758;45249.19077;41610.31086;102.1;1.364380831
mars-12;50873.10151;48672.58875;44582.82513;42738.36575;39344.1;37548.64;4000.562371;3951.56299;938.601817;938.601817;299.560943;299.560943;6290.27638;5934.223;454.6;436.15;5456.33;43197.80875;17630.26;13899.44788;7408.837;45108.67307;19208.48146;14043.6813;37263.58575;39195.84873;76.84;0.794593152
avr-12;45992.48042;44071.63304;42031.72576;40335.07204;34729.37;33099.71;5469.712866;5402.719149;1502.640651;1502.640651;330.002239;330.002239;3960.75466;3736.561;519.89;939.38;4487.06;40004.06304;15975.65;13211.20188;7327.108;38881.80414;15051.87995;13110.62307;36267.50204;34979.4387;70.02;1.153431009
mai-12;42093.51586;40296.53405;39832.75104;38163.73705;30631.03;29058.12;7846.426202;7750.322207;932.895462;932.895462;422.399379;422.399379;2260.76482;2132.797;586.35;612.9;5100.73;35222.35405;12556.16;12391.69104;7226.734;35705.21597;12949.95778;12438.97343;33089.55705;33704.5133;59.86;0.923977015
