Periode;Production.Totale.Brute;Production.Totale.Nette;Production brute d'électricité primaire (en GWh);Production nette d'électricité primaire (en GWh);Production.Brute.Nucléaire;Production nette d'électricité nucléaire (en GWh);Production brute d'électricité hydraulique (en GWh);Production nette d'électricité hydraulique (en GWh);Production brute d'électricité éolienne (en GWh);Production nette d'électricité éolienne (en GWh);Production brute d'électricité photovoltaïque (en GWh);Production nette d'électricité photovoltaïque (en GWh);Production brute d'électricité thermique (en GWh);Production nette d'électricité thermique (en GWh);Électricité absorbée pour les pompages (en GWh);Total des importations physiques d'électricité (en GWh);Total des exportations physiques d'électricité (en GWh);Energie appelée réelle yc pertes (consommation calculée yc pertes) (en GWh);Livraisons en basse tension (BT : FC + Corse) (en GWh);Livraisons en moyenne tension (MT : FC + Corse) (en GWh);Livraisons en haute tension (en GWh);Energie appelée réelle yc pertes corrigée du climat (en GWh);Livraisons en basse tension corrigées du climat (en GWh);Livraisons en moyenne tension corrigées du climat (en GWh);Consommation d'électricité primaire (en GWh);Consommation d'électricité primaire corrigée du climat (en GWh);Puissance maximale appelée (en GW);Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période 1986-2015) (sans unité)
août-15;40546.48392;38667.92339;39072.9652;37277.81139;33747.49;31994.69;3457.983621;3415.629811;1076.322517;1076.322517;791.169061;791.169061;1473.51872;1390.112;476.93;319.62;7191.51;31319.10339;10805.07;11875.56763;6138.79;31319.10339;10805.07;11875.56763;29928.99139;29928.99139;55.05;1
sept-15;40513.17151;38738.30239;37904.33767;36277.13839;32228.48;30643.44;3442.10143;3399.942148;1585.318111;1585.318111;648.438128;648.438128;2608.83384;2461.164;419.45;617.39;5788.48;33147.76239;11364.69;12565.89116;6691.47;33147.76239;11364.69;12565.89116;30686.59839;30686.59839;56.68;1
oct-15;46111.12231;44132.05757;41764.62941;40031.59257;36175.22;34489.86;3892.583325;3844.906485;1217.913865;1217.913865;478.912219;478.912219;4346.4929;4100.465;435.61;972.22;5875.84;38792.82757;15297.15;13332.13234;7045.385;37134.23278;13933.05766;13170.94744;34692.36257;32767.53279;68.27;1.244758254
nov-15;49546.28748;47411.1267;43758.78712;41951.2207;37445.14;35681.14;3556.987885;3513.421459;2433.174412;2433.174412;323.484827;323.484827;5787.50036;5459.906;558.07;837.85;6797.51;40893.3967;16963.76;13382.24035;6761.294;43572.46516;19197.29379;13579.7343;35433.4907;38092.65393;80.19;0.70913429
déc-15;54025.13261;51740.20592;48649.89169;46669.22392;42223.84;40288.34;3687.729579;3642.561813;2526.6;2526.6;211.722107;211.722107;5375.24092;5070.982;771.52;704.14;7062.07;44610.75592;19989.72;13766.86955;6610.707;48527.88888;23286.24535;14014.87207;39539.77392;43209.99678;78.27;0.646086638
janv-16;58318.48096;55984.83202;52202.05469;50214.61856;43507.149;41589.906;5730.929594;5660.736462;2715.705625;2715.705625;248.270471;248.270471;6116.426267;5770.213459;777.55526;1483.251;6587.608;50102.91976;23289.9797;14683.66883;7241.06142;51748.94346;24671.88072;14787.19988;44332.7063;45874.3935;88.571;0.859972063
févr-16;54003.26332;51932.79485;49180.01702;47382.56249;39036.029;37324.501;7015.485443;6929.558913;2748.117923;2748.117923;380.38465;380.38465;4823.246304;4550.232362;583.82767;1171.352;6122.337;46397.98218;21071.34602;14088.16287;6828.312497;47492.59342;21988.10602;14161.97054;41847.74982;42921.47648;82.385;0.895766375
mars-16;54197.10817;52080.83323;48531.43975;46735.86302;38892.187;37178.47;6683.45052;6601.590794;2333.665072;2333.665072;622.137153;622.137153;5665.668422;5344.97021;549.2066;1423.286;5668.097;47286.81563;20993.37828;14860.22109;6969.608615;46156.63771;20056.1786;14773.92526;41941.84542;40797.98276;79.145;1.116821816
avr-16;44670.73871;42928.57724;41439.01833;39879.78444;32538.463;31059.296;6537.074829;6457.007931;1603.348368;1603.348368;760.132138;760.132138;3231.720372;3048.792804;403.4469;1576.299;5296.685;38804.74434;15896.48575;12952.16711;6729.009122;38172.35935;15371.7264;12897.13189;35755.95154;35038.27054;69.648;1.085344894
mai-16;42141.18289;40363.74409;39965.49249;38311.20598;31019.943;29446.114;6568.966322;6488.508813;1480.382418;1480.382418;896.200748;896.200748;2175.690401;2052.538115;607.93652;814.959;6079.895;34490.87157;12880.68224;12366.09186;6525.325482;34371.87201;12782.87847;12354.2763;32438.33346;32290.09955;61.101;1.019127884
juin-16;41550.70089;39821.98162;39326.52183;37723.69948;30160.789;28646.521;7230.033783;7141.479438;1024.839874;1024.839874;910.85917;910.85917;2224.179064;2098.282136;547.05867;369.751;7015.426;32629.24795;11083.04682;12651.07236;6374.611948;32629.24795;11083.04682;12651.07236;30530.96581;30530.96581;56.361;1
juil-16;39931.56919;38208.26847;37185.90565;35618.01986;29849.625;28347.337;5355.742707;5290.14491;974.1532854;974.1532854;1006.384661;1006.384661;2745.663531;2590.248615;463.174;1041.027;5331.567;33454.55447;10969.31077;13036.60054;6732.887369;33454.55447;10969.31077;13036.60054;30864.30586;30864.30586;57.187;1
août-16;37477.20824;35747.72474;34654.47409;33084.768;28639.911;27118.187;3917.505777;3869.523684;1134.242219;1134.242219;962.815093;962.815093;2822.734149;2662.956744;533.77882;1483.021;4887.611;31809.35592;10809.31154;12235.39906;6187.720514;31809.35592;10809.31154;12235.39906;29146.39918;29146.39918;55.793;1
sept-16;37991.21069;36214.98355;33052.13645;31555.47955;27937.168;26482.188;3402.717111;3361.040212;952.8916787;952.8916787;759.359657;759.359657;4939.074241;4659.504001;483.40491;1594.268;4328.703;32997.14364;10951.45604;12693.22222;6706.593848;32997.14364;10951.45604;12693.22222;28337.63964;28337.63964;55.972;1
oct-16;41415.44488;39512.81137;35528.36543;33958.96283;30555.922;29024.255;3080.92945;3043.193846;1340.611165;1340.611165;550.902815;550.902815;5887.079455;5553.848542;602.33776;2446.419;3216.159;38140.73361;15083.74567;12992.16116;6936.08769;36386.96408;13643.09559;12822.90594;32586.88507;30645.28196;65.005;1.263988857
nov-16;47539.39305;45475.37894;39437.1066;37831.71247;32705.546;31151.937;4228.004647;4176.219525;2188.106827;2188.106827;315.449123;315.449123;8102.286453;7643.666465;569.33163;2665.169;3309.401;44261.81531;19292.38563;13722.8281;6964.991869;44382.5781;19392.59677;13731.69791;36618.14884;36732.03641;82.069;0.987081263
déc-16;53484.48857;51210.95691;44603.20725;42832.38962;38366.759;36652.24;4596.51029;4540.211665;1388.413;1388.413;251.524956;251.524956;8881.281324;8378.567286;529.47695;3098.468;3182.986;50596.96196;24162.35008;14385.60688;7082.044606;50118.54885;23761.19605;14355.31225;42218.39467;41795.026;81.773;1.042206843
janv-17;59619.54818;57170.14157;49832.75912;47937.3217;42322.277;40491.58;5285.742523;5221.002097;1907.30627;1907.30627;317.433331;317.433331;9786.78906;9232.819868;563.94947;3650.518;2957.141;57299.5691;27883.43359;16253.64997;7392.267111;54874.3101;25859.84956;16096.20501;48066.74923;45911.16587;94.19;1.195629911
févr-17;50117.65395;48016.05737;42733.7175;41050.07958;35316.941;33689.433;4582.736352;4526.606433;2421.726039;2421.726039;412.314107;412.314107;7383.936456;6965.977789;615.61225;1475.1;5016.389;43859.15612;19641.04309;13570.98439;6442.330555;46146.54998;21556.70019;13723.42761;36893.17833;38971.10119;81.746;0.777835071
mars-17;51861.6672;49794.02705;45395.93103;43694.27595;35897.025;34272.622;6307.258843;6230.006759;2514.40785;2514.40785;677.239337;677.239337;6465.736166;6099.7511;689.4424;837.128;7211.762;42729.95065;17741.93284;14254.41773;6851.685274;45235.26589;19829.55915;14444.50471;36630.19955;39100.03547;74.673;0.736803742
avr-17;44121.44221;42243.80757;39886.78872;38248.85144;33338.196;31752.189;4239.855646;4187.925372;1379.021011;1379.021011;929.716059;929.716059;4234.653497;3994.956129;539.83416;699.337;6088.295;36315.01541;14377.29025;12350.70672;6591.103422;36135.0563;14228.32021;12334.56391;32320.05928;32118.29281;65.44;1.026174916
mai-17;42897.89671;41220.94418;39737.18407;38239.1398;31564.353;30136.831;5757.801932;5687.279664;1400.832624;1400.832624;1014.196511;1014.196511;3160.712643;2981.804381;661.4627;668.214;6539.264;34688.43148;12615.58851;12543.83962;6746.1033;35809.00471;13538.46052;12651.64219;31706.6271;33058.72955;60.963;0.829583281
juin-17;38817.03509;37088.91368;35990.79698;34422.65131;28389.335;26884.358;5157.416057;5094.247389;1396.474694;1396.474694;1047.571231;1047.571231;2826.238108;2666.262366;556.45648;1244.161;4698.578;33078.0402;10713.44364;13056.92438;6674.308265;33078.0402;10713.44364;13056.92438;30411.77783;30411.77783;59.504;1
juil-17;40487.02631;38655.34664;36321.74505;34725.83602;29707.543;28159.879;3938.973304;3890.728273;1617.954705;1617.954705;1057.274039;1057.274039;4165.28126;3929.510623;481.68816;1365.661;5945.732;33593.58748;10909.58452;13119.61516;6787.169985;33593.58748;10909.58452;13119.61516;29664.07686;29664.07686;57.466;1
août-17;38638.65821;36886.74309;35839.21177;34245.75589;30135.741;28585.542;3531.715469;3488.458583;1172.225926;1172.225926;999.52938;999.52938;2799.446438;2640.987205;499.96211;1005.174;5587.375;31804.57998;10834.24749;12115.51626;6245.797696;31804.57998;10834.24749;12115.51626;29163.59278;29163.59278;56.23;1
sept-17;40205.5855;38380.37537;36361.8397;34754.20008;30915.78237;29346.125;3101.066829;3063.08458;1555.384017;1555.384017;789.606485;789.606485;3843.745802;3626.175285;481.04938;826.655;5385.231;33340.74999;11425.5596;12498.9888;6711.635556;33340.74999;11425.5596;12498.9888;29714.5747;29714.5747;57.302;1
oct-17;41233.38248;39308.31116;34930.66424;33362.35055;29588.98968;28054.202;2737.235659;2703.70966;1962.12531;1962.12531;642.313584;642.313584;6302.718247;5945.96061;684.87371;1978.73;4400.789;36201.37845;13328.0306;12914.79166;6989.782293;38290.54913;15057.73046;13102.93543;30255.41784;32495.0666;64.47;0.712821952
nov-17;47044.44713;44901.49653;38563.70428;36900.79572;31959.56243;30344.848;3934.817353;3886.623225;2306.8375;2306.8375;362.487;362.487;8480.742852;8000.700804;591.68673;3650.993;3102.841;44857.9618;19594.78411;13927.36148;6975.581528;44376.56082;19196.22757;13891.30966;36857.26099;36403.76691;83.768;1.051905581
